,adresse,code_postal,lat,lon,taille,surface,loyer,_src
0,80bis rue de la Tombe Issoire,75014,48.828187,2.332599,T1,17,333,https://www.crous-paris.fr/logement/residence-alesia-3/
1,77 rue Amiral Mouchez ,75013,48.820845,2.343634,T1,18,391,https://www.crous-paris.fr/logement/residence-amiral-mouchez/
2,77 rue Amiral Mouchez ,75013,48.820845,2.343634,T1,20,422,https://www.crous-paris.fr/logement/residence-amiral-mouchez/
3,8 rue Romy Schneider,75018,48.88824,2.361262,T1,14,338,https://www.crous-paris.fr/logement/residence-andree-chedid/
4,8 rue Romy Schneider,75018,48.88824,2.361262,T1,19,419,https://www.crous-paris.fr/logement/residence-andree-chedid/
5,8 rue Romy Schneider,75018,48.88824,2.361262,T1,22,464,https://www.crous-paris.fr/logement/residence-andree-chedid/
6,60-60 bis rue d'Aubervilliers,75019,48.887671,2.367316,T1,19,359,https://www.crous-paris.fr/logement/residence-aubervilliers-2/
7,60-60 bis rue d'Aubervilliers,75019,48.887671,2.367316,T1,23,399,https://www.crous-paris.fr/logement/residence-aubervilliers-2/
8,60-60 bis rue d'Aubervilliers,75019,48.887671,2.367316,T1,30,530,https://www.crous-paris.fr/logement/residence-aubervilliers-2/
9,60-60 bis rue d'Aubervilliers,75019,48.887671,2.367316,T2,40,639,https://www.crous-paris.fr/logement/residence-aubervilliers-2/
10,20-20 bis rue du Colonel Avia,75015,48.829955,2.275603,T1,22,434,https://www.crous-paris.fr/logement/residence-avia/
11,20-20 bis rue du Colonel Avia,75015,48.829955,2.275603,T1,35,615,https://www.crous-paris.fr/logement/residence-avia/
12,20-20 bis rue du Colonel Avia,75015,48.829955,2.275603,T1,35,50,https://www.crous-paris.fr/logement/residence-avia/
13,151 avenue Ledru Rollin,75011,48.855045,2.378134,T1,15,324,https://www.crous-paris.fr/logement/residence-bastille/
14,151 avenue Ledru Rollin,75011,48.855045,2.378134,T2,24,511,https://www.crous-paris.fr/logement/residence-bastille/
15,244 rue de Bercy ,75012,48.84723,2.369011,T1,17,367,https://www.crous-paris.fr/logement/residence-bercy/
16,244 rue de Bercy ,75012,48.84723,2.369011,T1,20,403,https://www.crous-paris.fr/logement/residence-bercy/
17,244 rue de Bercy ,75012,48.84723,2.369011,T1,26,463,https://www.crous-paris.fr/logement/residence-bercy/
18,244 rue de Bercy ,75012,48.84723,2.369011,T2,35,648,https://www.crous-paris.fr/logement/residence-bercy/
19,244 rue de Bercy ,75012,48.84723,2.369011,T2,40,698,https://www.crous-paris.fr/logement/residence-bercy/
20,244 rue de Bercy ,75012,48.84723,2.369011,T3,64,1031,https://www.crous-paris.fr/logement/residence-bercy/
21,27 boulevard Bessières ,75017,48.89737,2.325891,T1,15,56,https://www.crous-paris.fr/logement/residence-bessieres/
22,21 rue Bisson,75020,48.870675,2.380694,T1,19,413,https://www.crous-paris.fr/logement/residence-bisson-2/
23,24 rue Bonaparte ,75006,48.855842,2.334091,T1,15,342,https://www.crous-paris.fr/logement/residence-bonaparte/
24,24 rue Bonaparte ,75006,48.855842,2.334091,T1,20,404,https://www.crous-paris.fr/logement/residence-bonaparte/
25,52 rue des Cascades,75020,48.872051,2.390832,T1,16,426,https://www.crous-paris.fr/logement/residence-cascades-2/
26,52 rue des Cascades,75020,48.872051,2.390832,T1,18,461,https://www.crous-paris.fr/logement/residence-cascades-2/
27,2 rue Cavallotti ,75018,48.885914,2.328796,T1,19,389,https://www.crous-paris.fr/logement/residence-cavallotti/
28,2 rue Cavallotti ,75018,48.885914,2.328796,T1,26,466,https://www.crous-paris.fr/logement/residence-cavallotti/
29,2 rue Cavallotti ,75018,48.885914,2.328796,T1,35,665,https://www.crous-paris.fr/logement/residence-cavallotti/
30,22-24 rue Cavé ,75018,48.886801,2.354354,T1,18,406,https://www.crous-paris.fr/logement/residence-cave-3/
31,22-24 rue Cavé ,75018,48.886801,2.354354,T1,19,417,https://www.crous-paris.fr/logement/residence-cave-3/
32,204 rue Championnet,75018,48.89388,2.330814,T1,16,346,https://www.crous-paris.fr/logement/residence-championnet-1/
33,204 rue Championnet,75018,48.89388,2.330814,T1,21,407,https://www.crous-paris.fr/logement/residence-championnet-1/
34,204 rue Championnet,75018,48.89388,2.330814,T1,39,687,https://www.crous-paris.fr/logement/residence-championnet-1/
35,2 rue Championnet ,75018,48.895209,2.352692,T1,16,346,https://www.crous-paris.fr/logement/residence-championnet-2-3/
36,2 rue Championnet ,75018,48.895209,2.352692,T1,21,407,https://www.crous-paris.fr/logement/residence-championnet-2-3/
37,2 rue Championnet ,75018,48.895209,2.352692,T1,39,687,https://www.crous-paris.fr/logement/residence-championnet-2-3/
38,81bis rue du Chevaleret,75013,48.829171,2.375895,T1,17,345,https://www.crous-paris.fr/logement/residence-chevaleret/
39,81bis rue du Chevaleret,75013,48.829171,2.375895,T1,18,356,https://www.crous-paris.fr/logement/residence-chevaleret/
40,81bis rue du Chevaleret,75013,48.829171,2.375895,T1,21,401,https://www.crous-paris.fr/logement/residence-chevaleret/
41,81bis rue du Chevaleret,75013,48.829171,2.375895,T1,27,469,https://www.crous-paris.fr/logement/residence-chevaleret/
42,81bis rue du Chevaleret,75013,48.829171,2.375895,T1,33,548,https://www.crous-paris.fr/logement/residence-chevaleret/
43,120 avenue de Choisy ,75013,48.826534,2.359844,T1,22,474,https://www.crous-paris.fr/logement/residence-choisy/
44,120 avenue de Choisy ,75013,48.826534,2.359844,T1,26,528,https://www.crous-paris.fr/logement/residence-choisy/
45,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,11,277,https://www.crous-paris.fr/logement/residence-citeaux/
46,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,13,317,https://www.crous-paris.fr/logement/residence-citeaux/
47,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,14,343,https://www.crous-paris.fr/logement/residence-citeaux/
48,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,17,395,https://www.crous-paris.fr/logement/residence-citeaux/
49,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,18,416,https://www.crous-paris.fr/logement/residence-citeaux/
50,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,22,464,https://www.crous-paris.fr/logement/residence-citeaux/
51,45 Boulevard Diderot ,75012,48.846722,2.379966,T1,31,593,https://www.crous-paris.fr/logement/residence-citeaux/
52,161 bis rue de la Convention,75015,48.838643,2.293577,T1,18,397,https://www.crous-paris.fr/logement/residence-convention/
53,161 bis rue de la Convention,75015,48.838643,2.293577,T1,21,421,https://www.crous-paris.fr/logement/residence-convention/
54,161 bis rue de la Convention,75015,48.838643,2.293577,T2,27,525,https://www.crous-paris.fr/logement/residence-convention/
55,161 bis rue de la Convention,75015,48.838643,2.293577,T2,27,50,https://www.crous-paris.fr/logement/residence-convention/
56,7 - Censier-Daubertin,,48.994726,2.371204,T1,13,50,https://www.crous-paris.fr/logement/residence-coubertin-3/
57,7 - Censier-Daubertin,,48.994726,2.371204,T1,13,93,https://www.crous-paris.fr/logement/residence-coubertin-3/
58,7 - Censier-Daubertin,,48.994726,2.371204,T1,17,50,https://www.crous-paris.fr/logement/residence-coubertin-3/
59,4bis-6 rue de la Cour des Noues,75020,48.863903,2.403086,T1,16,407,https://www.crous-paris.fr/logement/residence-cour-des-noues-2/
60,4bis-6 rue de la Cour des Noues,75020,48.863903,2.403086,T1,23,530,https://www.crous-paris.fr/logement/residence-cour-des-noues-2/
61,13-17 rue Dareau,75014,48.831281,2.337947,T1,11,401,https://www.crous-paris.fr/logement/residence-dareau/
62,13-17 rue Dareau,75014,48.831281,2.337947,T1,20,398,https://www.crous-paris.fr/logement/residence-dareau/
63,13-17 rue Dareau,75014,48.831281,2.337947,T1,20,494,https://www.crous-paris.fr/logement/residence-dareau/
64,13-17 rue Dareau,75014,48.831281,2.337947,T1,22,452,https://www.crous-paris.fr/logement/residence-dareau/
65,13-17 rue Dareau,75014,48.831281,2.337947,T1,25,505,https://www.crous-paris.fr/logement/residence-dareau/
66,29 rue Daviel ,75013,48.828197,2.344029,T1,16,384,https://www.crous-paris.fr/logement/residence-daviel/
67,29 rue Daviel ,75013,48.828197,2.344029,T1,20,441,https://www.crous-paris.fr/logement/residence-daviel/
68,26 avenue de l'Observatoire,75014,48.83924,2.336376,T1,18,389,https://www.crous-paris.fr/logement/residence-de-lobservatoire-3/
69,26 avenue de l'Observatoire,75014,48.83924,2.336376,T1,19,402,https://www.crous-paris.fr/logement/residence-de-lobservatoire-3/
70,26 avenue de l'Observatoire,75014,48.83924,2.336376,T1,22,441,https://www.crous-paris.fr/logement/residence-de-lobservatoire-3/
71,26 avenue de l'Observatoire,75014,48.83924,2.336376,T1,23,454,https://www.crous-paris.fr/logement/residence-de-lobservatoire-3/
72,26 avenue de l'Observatoire,75014,48.83924,2.336376,T1,25,480,https://www.crous-paris.fr/logement/residence-de-lobservatoire-3/
73,26 avenue de l'Observatoire,75014,48.83924,2.336376,T1,27,506,https://www.crous-paris.fr/logement/residence-de-lobservatoire-3/
74,9 rue Delaître,75020,48.867462,2.387307,T1,18,375,https://www.crous-paris.fr/logement/residence-delaitre-2/
75,9 rue Delaître,75020,48.867462,2.387307,T1,21,411,https://www.crous-paris.fr/logement/residence-delaitre-2/
76,72-74 rue des Haies,75020,48.854628,2.403222,T1,16,418,https://www.crous-paris.fr/logement/residence-des-haies-2/
77,72-74 rue des Haies,75020,48.854628,2.403222,T1,17,447,https://www.crous-paris.fr/logement/residence-des-haies-2/
78,72-74 rue des Haies,75020,48.854628,2.403222,T1,20,514,https://www.crous-paris.fr/logement/residence-des-haies-2/
79,72-74 rue des Haies,75020,48.854628,2.403222,T1,24,574,https://www.crous-paris.fr/logement/residence-des-haies-2/
80,6 place du docteur Yersin ,75013,48.820721,2.372484,T1,18,403,https://www.crous-paris.fr/logement/residence-docteur-yersin/
81,51-53 rue Domrémy ,75013,48.828437,2.369726,T1,19,395,https://www.crous-paris.fr/logement/residence-domremy/
82,51-53 rue Domrémy ,75013,48.828437,2.369726,T1,19,437,https://www.crous-paris.fr/logement/residence-domremy/
83,91-95 rue de la Fontaine au Roi,75011,48.869644,2.378175,T1,16,439,https://www.crous-paris.fr/logement/residence-fontaine-au-roi-1/
84,91-95 rue de la Fontaine au Roi,75011,48.869644,2.378175,T1,18,461,https://www.crous-paris.fr/logement/residence-fontaine-au-roi-1/
85,88-90 rue de la Fontaine au Roi,75011,48.869096,2.377408,T1,17,431,https://www.crous-paris.fr/logement/residence-fontaine-au-roi-2/
86,88-90 rue de la Fontaine au Roi,75011,48.869096,2.377408,T1,20,464,https://www.crous-paris.fr/logement/residence-fontaine-au-roi-2/
87,88-90 rue de la Fontaine au Roi,75011,48.869096,2.377408,T1,22,497,https://www.crous-paris.fr/logement/residence-fontaine-au-roi-2/
88,88-90 rue de la Fontaine au Roi,75011,48.869096,2.377408,T1,26,566,https://www.crous-paris.fr/logement/residence-fontaine-au-roi-2/
89,8 rue Francis de Croisset,75018,48.899573,2.346287,T1,20,85,https://www.crous-paris.fr/logement/residence-francis-de-croisset/
90,8 rue Francis de Croisset,75018,48.899573,2.346287,T1,32,71,https://www.crous-paris.fr/logement/residence-francis-de-croisset/
