identifiant interne,libellé,nom court,sigle,type d'établissement,typologie d'universités et assimilés,secteur d'établissement,vague contractuelle,localisation,site internet,géolocalisation,uai - identifiant,anciens codes uai,siret,siren,rna,Identifiant wikidata,Elément wikidata,identifiant_idref,Identifiant ETER,Identifiant ROR,Elément ROR,Identifiant PIC,Identifiant OrgRef,Identifiant ISNI,Elément ISNI,Elément Funding Data,date_creation,texte_de_ref_creation_lib,texte_de_ref_creation,Code commune,Commune,Code unité urbaine,Unité urbaine,Code département,Département,Code académie,Académie,Code région,Région,Ancien code région,Ancienne région,Mention distribution,Adresse,Lieu dit,Boite postale,Code postal,Localité,Pays,Numéro de téléphone,statut_juridique_court,Statut juridique,compte_facebook,compte_twitter,compte_instagram,compte_flickr,compte_pinterest,flux_rss,compte_linkedin,compte_france_culture,compte_scribd,compte_scoopit,compte_tumblr,compte_youtube,compte_vimeo,compte_dailymotion,compte_github,Page Wikipédia en français,Page Wikipédia en anglais,scanr,hal,mooc,article,uo_lib_officiel,English name,Site internet en anglais,Site internet en chinois,Site internet en espagnol,Site internet en allemand,Site internet en italien,universites_fusionnees,etablissement_experimental,champ_recherche,inscrits,Effectifs d'étudiants inscrits 2010-11,Effectifs d'étudiants inscrits 2011-12,Effectifs d'étudiants inscrits 2012-13,Effectifs d'étudiants inscrits 2013-14,Effectifs d'étudiants inscrits 2014-15,Effectifs d'étudiants inscrits 2015-16,Effectifs d'étudiants inscrits 2016-17,Effectifs d'étudiants inscrits 2017-18,Effectifs d'étudiants inscrits 2018-19,Effectifs d'étudiants inscrits 2019-20,Effectifs d'étudiants inscrits 2020-21,Effectifs d'étudiants inscrits 2021-22,Effectifs d'étudiants inscrits 2022-23,coordonnees,longitude,latitude
Hq9dm,École nationale supérieure de création industrielle - Les Ateliers,Ensci-Les Ateliers,,École,,public,,Île-de-France>Paris>Paris 8e,https://www.ensci.com/2017-2018-ensci-les-ateliers/,"48.8584, 2.36934",0754585B,,33111876000015,331118760,,Q870925,https://www.wikidata.org/entity/Q870925,,FR0211,056atnc19,https://ror.org/056atnc19,,,0000 0001 2203 4373,http://www.isni.org/0000 0001 2203 4373,,1982-11-08,,,75108,Paris 8e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,48  RUE SAINT SABIN,,,75011,PARIS,France,,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Établissement public national à caractère industriel ou commercial doté d'un comptable public,https://www.facebook.com/ENSCILesAteliers/,,https://www.instagram.com/ensci_les_ateliers_paris/,,https://www.pinterest.fr/ensciateliers/,,https://fr.linkedin.com/school/ensci/,,,,,https://www.youtube.com/channel/UCYiskhRQ7R_fgMugNU7yHtQ,https://vimeo.com/enscilesateliers,,,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_cr%C3%A9ation_industrielle,https://en.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_cr%C3%A9ation_industrielle,,,,à l',,,,,,,,,,École nationale supérieure de création industrielle - Les Ateliers;Ensci-Les Ateliers,,,,,,,,,,,,,,,"[2.369182, 48.858436]",2.369182,48.858436
l4myZ,Institut protestant de théologie,IPT,,École,,privé,,Île-de-France>Paris>Paris 14e,http://www.iptheologie.fr/index.php,"48.834229, 2.337221",0753605L,,31238101500014,312381015,W751035223,Q3064314,https://www.wikidata.org/entity/Q3064314,029412706,,,,,,,,,1877,,,75114,Paris 14e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,83 boulevard Arago,,,75014,Paris,France,33143316164.0,Association loi de 1901,Association loi de 1901,,,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Facult%C3%A9_de_th%C3%A9ologie_protestante_de_Paris,https://en.wikipedia.org/wiki/Protestant_Faculty_of_Theology_in_Paris,https://scanr.enseignementsup-recherche.gouv.fr/entite/312381015,,,à l',,,,,,,,,,Institut protestant de théologie;IPT,,,,,,,,,,,,,,,"[2.33709, 48.834422]",2.33709,48.834422
XBZhH,École nationale supérieure des métiers de l'image et du son,La Fémis,,École,,public,,Île-de-France>Paris>Paris 18e,http://www.femis.fr/,"48.89055, 2.34257",0753457A,,42150644500012,421506445,,Q1138556,https://www.wikidata.org/entity/Q1138556,,,,,,,,,,1986-01-01,,,75118,Paris 18e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,6 rue FRANCOEUR,,,75018,PARIS,France,,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Établissement public national à caractère industriel ou commercial doté d'un comptable public,https://www.facebook.com/LaFemis.Paris/,,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/La_F%C3%A9mis,https://en.wikipedia.org/wiki/La_F%C3%A9mis,,,,à l',,,http://www.femis.fr/-english-,,,,,,,École nationale supérieure des métiers de l'image et du son;La Fémis,,,,,,,,,,,,,,,"[2.342584, 48.890069]",2.342584,48.890069
24vIz,Institut national du patrimoine,,Inp,École,,public,,Île-de-France>Paris>Paris 2e,http://www.inp.fr/,"48.86661, 2.33907",0754446A,,19751234600044,197512346,,Q3152445,https://www.wikidata.org/entity/Q3152445,086260553,,03c2nxn64,https://ror.org/03c2nxn64,,,0000 0001 2248 2918,http://www.isni.org/0000 0001 2248 2918,,1990-05-18,Décret n° 90-406 du 16 mai 1990 créant et organisant l'École nationale du patrimoine,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000343015/,75102,Paris 2e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,2 rue VIVIENNE,,,75002,PARIS,France,,EPA,Établissement public national à caractère administratif,https://www.facebook.com/Institutnationaldupatrimoineparis/,https://twitter.com/Inp_patrimoine,https://www.instagram.com/inp.patrimoine/,,,,https://www.linkedin.com/school/institut-national-du-patrimoine/,,,,,https://www.youtube.com/user/inpvideotheque/,,,,https://fr.wikipedia.org/wiki/Institut_national_du_patrimoine_(France),https://en.wikipedia.org/wiki/Institut_national_du_patrimoine,https://scanr.enseignementsup-recherche.gouv.fr/entite/197512346,,,à l',Institut national du patrimoine,National Heritage Institute,http://www.inp.fr/en,http://www.inp.fr/cn,http://www.inp.fr/es,,,,,Institut national du patrimoine;National Heritage Institute;Inp,,,,,,,,,,,,,,,"[2.338842, 48.866499]",2.338842,48.866499
8bexp,ESCP Business School,,ESCP,École,,privé,,Île-de-France>Paris>Paris 15e,,"48.842394, 2.317575",0753547Y,,82464458700027,824644587,,Q29293,https://www.wikidata.org/entity/Q29293,197605990,,040hhjv66,https://ror.org/040hhjv66,,,0000 0001 1544 4083,http://www.isni.org/0000 0001 1544 4083,,1819,,,75115,Paris 15e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,3 rue Armand Moisant,,,75015,Paris,France,,SA à conseil d'administration,SA à conseil d'administration,https://www.facebook.com/ESCPbs/,https://twitter.com/ESCP_bs,https://www.instagram.com/escpbs/,https://www.flickr.com/photos/escp_bs,,,https://www.linkedin.com/school/escp-business-school/,,,,,https://www.youtube.com/escpeurope,,,,https://fr.wikipedia.org/wiki/ESCP_Business_School,https://en.wikipedia.org/wiki/ESCP_Business_School,,,,à l',,ESCP Business School,https://escp.eu/fr,,,,,,,ESCP Europe;ESCP Business School;ESCP,,,,,,,,,,,,,,,"[2.317575, 48.842394]",2.317575,48.842394
jYUcF,Arts et Métiers Sciences et Technologies,Arts et Métiers,ENSAM,Grand établissement,,public,Vague D,Île-de-France>Paris>Paris 13e,https://artsetmetiers.fr/,"48.83357, 2.35831",0753237L,,19753472000010,197534720,,Q2570220,https://www.wikidata.org/entity/Q2570220,02637515X,FR0185,018pp1107,https://ror.org/018pp1107,,41325078.0,0000 0001 2194 6047,http://www.isni.org/0000 0001 2194 6047,,1780,,,75113,Paris 13e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,151 boulevard de l'hôpital,,,75013,Paris,France,33144246299.0,EPSCP,"Établissement public à caractère scientifique, culturel et professionnel",https://www.facebook.com/AMParisTech,https://twitter.com/ArtsetMetiers_,https://www.instagram.com/artsetmetiers_ensam/,,,https://artsetmetiers.fr/fr/actualites.xml,https://www.linkedin.com/school/arts-et-m-tiers-paristech/,,,,,https://www.youtube.com/user/ARTSETMETIERSCOM,,,,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27arts_et_m%C3%A9tiers,https://en.wikipedia.org/wiki/Arts_et_M%C3%A9tiers_ParisTech,,,https://www.fun-mooc.fr/universities/arts-et-metiers-paristech/,à,École nationale supérieure d'arts et métiers,Arts et Métiers Institut of Technology,,,,,,,,École nationale supérieure d'arts et métiers;Arts et Métiers Sciences et Technologies;Arts et Métiers;ENSAM;Groupe Arts et Métiers Sciences et Technologies;Arts et Métiers Institut of Technology;Arts et Métiers Institute of technology,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=jYUcF,5286.0,5522.0,5635.0,5726.0,5703.0,5645.0,5742.0,5884.0,5925.0,6030.0,6055.0,5906.0,5830.0,"[2.357558, 48.833773]",2.357558,48.833773
TWBzp,Université Paris-Panthéon-Assas,Panthéon-Assas,,Université,Université tertiaire - droit et économie,public,Vague D,Île-de-France>Paris>Paris 5e,http://www.assas-universite.fr/,"48.846806, 2.344888",0756305W,0751718K,13002995200012,130029952,,Q662976,https://www.wikidata.org/entity/Q662976,260745863,,04qb2qm38,https://ror.org/04qb2qm38,,,,,,2021-12-29,Décret n° 2021-1831 du 24 décembre 2021 portant création de l'Université Paris-Panthéon-Assas et approbation de ses statuts,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000044572545/,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,12 place du Panthéon,,,75005,Paris,France,,EPSCP,"Établissement public à caractère scientifique, culturel et professionnel",,,,,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Panth%C3%A9on-Assas,https://en.wikipedia.org/wiki/Paris-Panth%C3%A9on-Assas_University,https://scanr.enseignementsup-recherche.gouv.fr/entite/130029952,https://univ-pantheon-assas.hal.science/,,à l',Université Paris-Panthéon-Assas,,,,,,,,Oui,Université Paris-Panthéon-Assas;Panthéon-Assas,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=TWBzp,,,,,,,,,,,,22246.0,21695.0,"[2.344888, 48.846806]",2.344888,48.846806
QeAil,Ecole Nationale Supérieure des Beaux-Arts de Paris,Beaux-Arts de Paris,ENSBA,École,,public,,Île-de-France>Paris>Paris 6e,https://beauxartsparis.fr/fr,"48.856491, 2.334499",0753667D,,19753667500014,197536675,,Q273593,https://www.wikidata.org/entity/Q273593,026408139,FR0207,01cdn3r29,https://ror.org/01cdn3r29,,18976459.0,0000 0001 2296 0748,http://www.isni.org/0000 0001 2296 0748,,1794,,,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,14 rue Bonaparte,,,75006,Paris,France,33147035000.0,Autre établissement public national d'enseignement,Autre établissement public national d'enseignement,https://www.facebook.com/beauxartsparis,https://twitter.com/beauxartsparis,https://www.instagram.com/beauxartsparis/,,,,https://www.linkedin.com/company/%C3%A9cole-nationale-sup%C3%A9rieure-des-beaux-arts/?viewAsMember=true/,,,,,https://www.youtube.com/channel/UCEARNorNgk2IeDcGjtmGwmw,,,,https://fr.wikipedia.org/wiki/Beaux-Arts_de_Paris,https://en.wikipedia.org/wiki/Beaux-Arts_de_Paris,https://scanr.enseignementsup-recherche.gouv.fr/entite/197536675,,,,,,https://beauxartsparis.fr/en,,,,,,,Ecole Nationale Supérieure des Beaux-Arts de Paris;Beaux-Arts de Paris;ENSBA,,,,,,,,,,,,,,,"[-1.568442, 47.228673]",-1.568442,47.228673
wp55m,IAE Paris - Sorbonne Business School,IAE de Paris,IAE Paris,École,,public,Vague D,Île-de-France>Paris>Paris 5e,http://www.iae-paris.com/,"48.83839, 2.348565",0753364Z,,"19750002800026,19750002800034",197500028,,Q3151899,https://www.wikidata.org/entity/Q3151899,067108490,,,,,,,,,1956-01-01,,,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,21 Rue Broca,,,75005,Paris,France,33144081160.0,EPA,Établissement public national à caractère administratif,https://www.facebook.com/iaeparis,https://twitter.com/iaeparis,,https://www.flickr.com/photos/iae-paris/,,,https://www.linkedin.com/company/iaeparis,,,,,https://www.youtube.com/user/iaeparis,,,,https://fr.wikipedia.org/wiki/Institut_d%27administration_des_entreprises_de_Paris,https://en.wikipedia.org/wiki/IAE_Paris_Sorbonne_Business_School,https://scanr.enseignementsup-recherche.gouv.fr/entite/197500028,,,à l',Institut d'administration des entreprises de Paris,Sorbonne Business School,http://www.iae-paris.com/en,,,,,,,Institut d'administration des entreprises de Paris;IAE Paris - Sorbonne Business School;IAE de Paris;Sorbonne Business School;IAE Paris,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=wp55m,1099.0,1109.0,892.0,1097.0,1224.0,1554.0,1516.0,1811.0,1767.0,1746.0,1709.0,1937.0,2001.0,"[2.348565, 48.83839]",2.348565,48.83839
15kV5,"Institut national du sport, de l'expertise et de la performance",,INSEP,Grand établissement,,public,,Île-de-France>Paris>Paris 12e,https://www.insep.fr/fr,"48.833495221568754, 2.454103231430054",0752559Z,,13001080400016,130010804,,Q3152447,https://www.wikidata.org/entity/Q3152447,026388782,,03jczk481,https://ror.org/03jczk481,,24921496.0,0000 0001 2163 2398,http://www.isni.org/0000 0001 2163 2398,501100005904.0,1975,,,75112,Paris 12e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,R11,Île-de-France,,11 avenue du Tremblay,,,75012,Paris,France,33141744100.0,EPSCP,"Établissement public à caractère scientifique, culturel et professionnel",https://www.facebook.com/insep.paris,https://twitter.com/INSEP_PARIS,https://www.instagram.com/insep_officiel/,,,http://www.insep.fr/FR/Actualite/_layouts/insepGestionRss.aspx?Sports=&Themes=&StartDate=01/01/0001%2000:00:00&EndDate=01/01/0001%2000:00:00&TypeActu=Actu,https://www.linkedin.com/company/institut-national-du-sport-de-l'expertise-et-de-la-performance/,,,,,https://www.youtube.com/channel/UCtzNqITLz5T0XDi-EuK2pWA,,,,"https://fr.wikipedia.org/wiki/Institut_national_du_sport,_de_l%27expertise_et_de_la_performance",https://en.wikipedia.org/wiki/INSEP,https://scanr.enseignementsup-recherche.gouv.fr/entite/130010804,https://hal-insep.archives-ouvertes.fr/,,à l',,,https://www.insep.fr/en,,,,,,,"Institut national du sport, de l'expertise et de la performance;INSEP",,,,,,,,,,,,,,,"[2.454596, 48.833925]",2.454596,48.833925
