OBJECTID;NUM_PAVE;IGDS_LEVEL;LIB_LEVEL;LIB_CLASSE;nom_fichier;igds_basename;igds_style;igds_element_association_id;geom_origine;igds_element_type;igds_symbology;igds_color;igds_color_blue;igds_color_green;igds_color_red;igds_fill_color;igds_fill_color_blue;igds_fill_color_green;igds_fill_color_red;igds_rotation;igds_graphic_group;st_area(shape);st_perimeter(shape);geo_shape;geo_point_2d
498;103B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;11.508214748769072;15.339718401268811;"{""coordinates"": [[[2.3644253898890244, 48.86785929478799], [2.364424380316573, 48.86786047655694], [2.364491510151707, 48.8678847878564], [2.3645053026859544, 48.867868855519724], [2.364438135188196, 48.867844392038954], [2.3644371380052376, 48.867845563981064], [2.3644253898890244, 48.86785929478799]]], ""type"": ""Polygon""}";48.86786461238624, 2.364464798027183
515;114B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;11.395634342807208;15.341051423657772;"{""coordinates"": [[[2.3856784199686505, 48.85458860507948], [2.38563813942829, 48.854612599773546], [2.385624782077342, 48.85462055968662], [2.3856275236432167, 48.85462257031943], [2.3856292269459334, 48.85462155470557], [2.3856438419704404, 48.854632226782066], [2.38564213866766, 48.85463324239617], [2.3856448680651625, 48.854635244871886], [2.385682923746704, 48.85461257788537], [2.3856985059592697, 48.85460329025617], [2.3856784199686505, 48.85458860507948]]], ""type"": ""Polygon""}";48.85461155910829, 2.3856622582180114
517;081A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;14.393693435151572;18.73531307174861;"{""coordinates"": [[[2.311989009871552, 48.86886293316627], [2.3119222010532114, 48.86888540417194], [2.311919728282145, 48.868881881611365], [2.3119170448689865, 48.86888274664373], [2.3119044882349318, 48.868886745792345], [2.311902051484004, 48.8688875142138], [2.311903389161279, 48.86888934757454], [2.3119167383640047, 48.86890698223129], [2.3120012739448224, 48.8688791226242], [2.311989009871552, 48.86886293316627]]], ""type"": ""Polygon""}";48.86888507320083, 2.3119513357271924
520;081A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;13.901421492040328;17.394634015240268;"{""coordinates"": [[[2.313934980778588, 48.868472855039784], [2.313877588307902, 48.86849177653585], [2.3138921330237543, 48.868510803719545], [2.313943503661515, 48.86849449896978], [2.3139657535355704, 48.86848743713715], [2.3139644559797525, 48.868485657989865], [2.3139607172541172, 48.86848684977698], [2.313948795463774, 48.86847050959029], [2.313952095197906, 48.868469423208715], [2.313950770261624, 48.868467652897706], [2.313934980778588, 48.868472855039784]]], ""type"": ""Polygon""}";48.86848980208867, 2.31392033926456
558;152A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;13.483413927965808;16.499193559944697;"{""coordinates"": [[[2.30760067597573, 48.847073466646485], [2.307576258095329, 48.8470891478237], [2.3075791063226547, 48.847091080851065], [2.3075818702457234, 48.847089308014155], [2.307601552381446, 48.84710268213502], [2.3075985956652687, 48.8471046067483], [2.307601472747492, 48.84710652195479], [2.307625795438184, 48.84709072330463], [2.3076531310510138, 48.84707297337914], [2.3076277739266216, 48.847056066102745], [2.30760067597573, 48.847073466646485]]], ""type"": ""Polygon""}";48.84708051252077, 2.3076157185962165
563;0140;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;16.607283177311622;20.950257409194318;"{""coordinates"": [[[2.3256144699116605, 48.8693932137813], [2.32561551242099, 48.869390611559524], [2.3255274163346407, 48.86937567890678], [2.3255204085341257, 48.86939393925538], [2.325608368880507, 48.86940893410211], [2.3256092860274418, 48.86940653802306], [2.3256317971035902, 48.869410375547005], [2.3256369803177694, 48.86939699734007], [2.3256144699116605, 48.8693932137813]]], ""type"": ""Polygon""}";48.86939378616931, 2.3255766325379374
568;191D;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;10.363551351164714;15.821955885306025;"{""coordinates"": [[[2.370293101767391, 48.88510518278985], [2.370271888320184, 48.88511669501102], [2.37029226067295, 48.885133012514785], [2.3703195316918837, 48.88515487107203], [2.3703208095665214, 48.885154185311315], [2.370317339791273, 48.885151414225575], [2.3703360123850237, 48.88514128259008], [2.3703394686335115, 48.88514404461088], [2.370340731399454, 48.88514336776379], [2.370314095174769, 48.88512201617238], [2.370293101767391, 48.88510518278985]]], ""type"": ""Polygon""}";48.88512881819645, 2.3703048031268654
583;042A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;21.969522658230424;23.905428886306048;"{""coordinates"": [[[2.360184113931651, 48.855285475801274], [2.3601853407313964, 48.85528756885642], [2.360173157484628, 48.85529070270528], [2.3601822549037674, 48.855306123065205], [2.3601939731429, 48.85530312163182], [2.3601952285623757, 48.85530521483985], [2.3603055208793484, 48.85527668980689], [2.3602942396951017, 48.85525719271272], [2.360184113931651, 48.855285475801274]]], ""type"": ""Polygon""}";48.85528240533659, 2.3602398801815343
585;152C;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;22.670286105653936;21.932596959942263;"{""coordinates"": [[[2.3123950946221514, 48.84300987809021], [2.312378263279669, 48.84303100188568], [2.312378051907446, 48.843031531296624], [2.3123779071780493, 48.843032070084305], [2.312377831935031, 48.84303260927141], [2.312377824815995, 48.84303314885006], [2.3123778721961266, 48.84303368874196], [2.312378014949775, 48.84303422918212], [2.3123782109587436, 48.843034760934685], [2.312378463066689, 48.84303527502238], [2.3123787971606413, 48.843035771594025], [2.3123791859910714, 48.84303625049295], [2.3123796433014467, 48.84303670280455], [2.31238015410445, 48.843037128442596], [2.3123807075002656, 48.84303752734451], [2.31238131586976, 48.84303789058774], [2.3124150550905958, 48.84304964046686], [2.3124158570551248, 48.84304978897482], [2.312416673237597, 48.843049892596184], [2.3124174900133934, 48.84304995125269], [2.3124183211140097, 48.8430499569289], [2.3124191528196074, 48.843049916740945], [2.3124199714936995, 48.843049831509774], [2.3124207772548284, 48.8430496922424], [2.3124215563595247, 48.843049507853536], [2.3124223087960263, 48.84304927924244], [2.312423034469415, 48.84304901360355], [2.312423706236726, 48.84304870268649], [2.312424351347803, 48.84304834664796], [2.3124249423155145, 48.84304796331722], [2.3124254656338863, 48.84304754362303], [2.3124456090195937, 48.84302242048983], [2.3124632423142346, 48.8430004109216], [2.3124605974760803, 48.842999486461984], [2.312455732029045, 48.84300555530084], [2.3124136134290008, 48.8429908775011], [2.3124188533807417, 48.84298430807082], [2.3124161948007442, 48.842983392524914], [2.3123950946221514, 48.84300987809021]]], ""type"": ""Polygon""}";48.84302041108934, 2.312416925384244
592;054B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;8.272346585570583;13.481806422720775;"{""coordinates"": [[[2.3412740619110695, 48.848239778610825], [2.341274849600823, 48.848241069031005], [2.341278008039376, 48.84824023292913], [2.3412530507139477, 48.84819931408387], [2.341231267767865, 48.84820502558859], [2.3412557932467513, 48.84824560929768], [2.341258952934747, 48.84824478219675], [2.3412584057423103, 48.8482438708314], [2.3412740619110695, 48.848239778610825]]], ""type"": ""Polygon""}";48.848222184404875, 2.341254326143165
